⺀	(丶丶,OeOe,bīng_èr,部首補充)
瓃	(王田田田,GiSlSlSl,léi,CJK)
瓄	(王士罒貝,GiMfYtIc,dú,CJK)
瓅	(王白幺幺木,GiDyBlAj,lì,CJK)
瓆	(王斤斤貝,GiOzOzIc,zhì,CJK)
瓇	(王心夂,GiWvNgJt,róu,CJK)
瓈	(王禾人氺,GiZpKgHg,lí_li,CJK)
瓉	(王夫夫貝,GiSvSvIc,zàn,CJK)
瓊	(王⺈冂八目夂,GiRlZvJt,qióng_xuán,CJK)
瓋	(王冂古辶,GiYqZvLt,tì,CJK)
瓌	(王衣罒水,GiOrYtHg,guī,CJK)
瓍	(王阝𠂇工⺝辶,GiTjGlLt,suí,CJK)
瓎	(王束⺈貝,GiUhRlIc,là,CJK)
瓏	(王立⺝,GiYqMdIa,lóng,CJK)
瓐	(王虍田皿,GiQbSlBk,lú,CJK)
瓑	(王厂禾禾止,GiOyZpLd,lì,CJK)
瓒	(王⺧儿⺧儿贝,GiLzAhDj,zàn,CJK)
瓓	(王門束丷,GiAcUhVy,làn,CJK)
瓔	(王貝貝女,GiIcIcSm,yīng,CJK)
瓕	(弓一王丶,OdFhKtOe,mí_xǐ,CJK)
瓖	(王衣吅井一,GiOrRuFh,xiāng,CJK)
瓗	(王山隹冂八口,GiDsVhIq,qióng_wěi_wèi,CJK)
瓘	(王艹吅隹,GiWhRuVh,guàn,CJK)
瓙	(王士乛工一口寸灬,GiMfPvYv,dào,CJK)
瓚	(王⺧儿⺧儿貝,GiLzAhIc,zàn,CJK)
瓛	(王虍鬲犬,GiQbPwLe,huán_yè_yǎn,CJK)
瓜	(瓜,Qj,guā,CJK)
瓝	(瓜勹丶,QjSnOe,bó,CJK)
瓞	(瓜丿夫,QjCkSv,dié,CJK)
瓟	(瓜勹巳,QjSnDu,bó_páo,CJK)
瓠	(大二ㄅ瓜,XiRlPvQj,hù_hú_huò_gū,CJK)
瓡	(土瓜,BmIdQj,zhí_hú,CJK)
瓢	(覀示瓜,QpDdQj,piáo,CJK)
瓣	(瓜辛,JtQjJt,bàn,CJK)
瓤	(衣吅井一瓜,OrRuBzQj,ráng,CJK)
瓥	(瓜豕虫虫,QjKtJwJw,lì,CJK)
瓦	(瓦,Fn,wǎ_wà,CJK)
瓧	(瓦十,FnGl,,CJK)
瓨	(工瓦,NvFn,xiáng_hóng,CJK)
瓩	(瓦千,FnHc,qiān_wǎ,CJK)
瓪	(瓦⺁又,FnOyWi,bǎn,CJK)
瓫	(八刀瓦,VyKgFn,pén,CJK)
瓬	(方瓦,MxFn,fǎng,CJK)
瓭	(冖儿瓦,ErAhFn,dǎn_dān,CJK)
瓮	(八厶瓦,VyNdFn,wèng,CJK)
瓯	(匚㐅瓦,EhOsFn,ōu,CJK)
瓰	(瓦八刀,FnVyKg,,CJK)
瓱	(瓦毛,FnOu,,CJK)
瓲	(瓦一,FnFhIa,wa,CJK)
瓳	(古瓦,QmFn,hú,CJK)
瓴	(亽龴瓦,TuNdFn,líng,CJK)
瓵	(厶口瓦,NdIqFn,yí,CJK)
瓶	(䒑廾瓦,VyWhFn,píng,CJK)
瓷	(冫欠瓦,LvFyFn,cí,CJK)
瓸	(瓦一白,FnFhDy,bǎi,CJK)
瓹	(口⺝瓦,IqMdFn,juān_juàn,CJK)
瓺	(镸瓦,SiFn,cháng,CJK)
瓻	(㐅𠂇巾瓦,OsGlUwFn,chī,CJK)
瓼	(瓦里,FnDn,,CJK)
瓽	(瓦,XyFn,dàng,CJK)
瓾	(禾女瓦,ZpSmFn,měng,CJK)
瓿	(立口瓦,YqIqFn,bù_pǒu,CJK)
甀	(千艹士瓦,HcWhMfFn,zhuì,CJK)
甁	(丿丿干瓦,CkLrCkFn,píng,CJK)
甂	(户𠕁瓦,FkJzFn,biān,CJK)
甃	(禾火瓦,ZpYvFn,zhòu,CJK)
甄	(覀土瓦,QpBmFn,zhēn_zhèn_juàn,CJK)
甅	(瓦厂里,FnOyDn,,CJK)
甆	(䒑幺幺瓦,VyBlBlFn,cí,CJK)
甇	(火火冖瓦,YvYvErFn,yīng,CJK)
甈	(自木瓦,CjAjFn,qì,CJK)
甉	(䒑瓦,VySiYvFn,xián,CJK)
甊	(口丨女瓦,SfIqKsFn,lǒu,CJK)
甋	(冂古瓦,YqZvQmFn,dì,CJK)
甌	(匚口吅瓦,EhIqRuFn,ōu_ǒu,CJK)
甍	(艹罒冖瓦,WhYtErFn,méng,CJK)
甎	(十田寸瓦,GlSlNdFn,zhuān_chuán,CJK)
甏	(壴彡瓦,HsBlFn,bèng,CJK)
甐	(米夕㐄瓦,MgXuGjFn,lìn,CJK)
甑	(丷囗⺌日瓦,VyUdOtFn,zèng,CJK)
甒	(𠂉卌一灬瓦,LdDsFhFn,wǔ,CJK)
甓	(辟瓦,RkFn,pì,CJK)
甔	(⺈厂八言瓦,RlOyVyFn,dān_dàn,CJK)
甕	(亠乡隹瓦,UeFfVhFn,wèng,CJK)
甖	(貝貝瓦,IcIcFn,yīng,CJK)
甗	(虍鬲瓦,QbPwFn,yǎn,CJK)
甘	(甘,Mz,gān_hān,CJK)
甙	(弋甘,NdMz,dài,CJK)
甚	(㇗,MzVyPv,shèn_shén,CJK)
甛	(甘舌,MzVl,tián,CJK)
甜	(舌甘,VlMz,tián,CJK)
甝	(虎甘,QbMz,hán,CJK)
甞	(甘,XyMz,cháng,CJK)
生	(生,Dh,shēng,CJK)
甠	(日生,JeDh,qíng,CJK)
甡	(生生,DhDh,shēn,CJK)
產	(文厂生,WmOyDh,chǎn,CJK)
産	(厂生,YqOyDh,chǎn,CJK)
甤	(豕生,KtDh,ruí,CJK)
甥	(生田力,DhSlAu,shēng,CJK)
甦	({凬字心}生,TeOsDh,sū,CJK)
甧	(生生⺝,DhDhMd,shēn,CJK)
用	(用,Ql,yòng,CJK)
甩	(用乚,QlPv,shuǎi,CJK)
甪	(丿用,CkQl,lù,CJK)
甫	(甫,Gn,fǔ_fū_pǔ,CJK)
甬	(龴用,NdQl,yǒng_dòng,CJK)
甭	(不用,CiQl,béng_qì,CJK)
甮	(勹用,SnBlQl,fèng,CJK)
甯	(宀心用,ErNgQl,níng_nìng,CJK)
田	(田,Sl,tián,CJK)
由	(由,Is,yóu_yāo,CJK)
甲	(甲,St,jiǎ,CJK)
申	(日丨,JeKs,shēn,CJK)
甴	(丨日,KsJe,zhá_yóu,CJK)
电	(日乚,JePv,diàn,CJK)
甶	(丿田,CkSl,fú,CJK)
男	(田力,SlAu,nán,CJK)
甸	(勹田,SnSl,diān_diàn_tián_shèng_yìng,CJK)
甹	(由一ㄅ,IsFhPv,pīng,CJK)
町	(田丁,SlUe,tīng_dīng_tǐng_zhèng_tiǎn,CJK)
画	(一田凵,FhSlZv,huà,CJK)
甼	(田丁,SlUe,tǐng,CJK)
甽	(田川,SlJv,zhèn_quǎn_zhùn,CJK)
甾	(巛田,JvSl,zāi_zī,CJK)
甿	(田亡,SlXc,méng_máng,CJK)
畀	(田丌,SlWh,bì,CJK)
畁	(由丌,IsWh,bì,CJK)
畂	(田㇏,SlRlOe,liù,CJK)
畃	(日丨勹丶,JeKsSnOe,xún,CJK)
畄	(ツ田,HgSl,liú,CJK)
畅	(日丨ㄋ,JeKsPvBl,chàng,CJK)
畆	(亠田厶,UeSlNd,mǔ,CJK)
畇	(田勹冫,SlSnLv,yún_tián,CJK)
畈	(田⺁又,SlOyWi,fàn,CJK)
畉	(田夫,SlSv,fú,CJK)
畊	(田井,SlBz,gēng,CJK)
畋	(田攵,SlRy,tián,CJK)
界	(田人,SlSiKg,jiè,CJK)
畍	(田人,SlSiKg,jiè,CJK)
畎	(田犬,SlLe,quǎn,CJK)
畏	(田一,SlFhOr,wèi_wēi_wěi,CJK)
畐	(一口田,FhIqSl,fú_bì,CJK)
畑	(火田,YvSl,tián,CJK)
畒	(亠田人,UeSlSi,mǔ,CJK)
畓	(水田,HgSl,duō,CJK)
畔	(田丷,SlVyPc,pàn,CJK)
畕	(田田,SlSl,jiāng,CJK)
畖	(田瓜,SlQj,wā,CJK)
畗	(田,WnSl,dá_fú,CJK)
畘	(田冂土,SlZvBm,nán,CJK)
留	(田,FmSl,liú_liù_liǔ,CJK)
畚	(厶大田,NdXiSl,běn,CJK)
畛	(田人彡,SlSiBl,zhěn,CJK)
畜	(亠幺田,UeBlSl,chù_xù,CJK)
畝	(亠田㇏,UeSlRlOe,mǔ_mǒu,CJK)
畞	(十田㇏,GlSlRlOe,mǔ,CJK)
畟	(田八夂,SlVyJt,cè_jì,CJK)
畠	(白田,DySl,tián,CJK)
畡	(田亥,SlYg,gāi,CJK)
畢	(田艹,SlWhPc,bì,CJK)
畣	(亼口田,TuIqSl,dá,CJK)
畤	(田土寸,SlBmLw,zhì_chóu_shì,CJK)
略	(田各,SlQy,lüè,CJK)
畦	(田土土,SlBmBm,qí,CJK)
畧	(田各,SlQy,lüè,CJK)
畨	(米田,MgSl,pān_fān,CJK)
畩	(田衣,SlOr,yī,CJK)
番	(丿米田,CkMgSl,fān_pān_fán_bō_pó_pán_pàn_pí,CJK)
畫	(聿田一,UaSlFh,huà,CJK)
畬	(人禾田,SiZpSl,shē_yú,CJK)
畭	(田人禾,SlSiZp,yú,CJK)
畮	(田𠂉母,SlLdQt,mǔ,CJK)
畯	(田厶八夂,SlNdVyJt,jùn,CJK)
異	(田龷八,SlXkVy,yì,CJK)
畱	(田,FmSl,liú,CJK)
畲	(人示田,SiDdSl,shē,CJK)
畳	(田冖且,SlErRh,dié,CJK)
畴	(田寸,SlZhLw,chóu,CJK)
畵	(聿田凵,UaSlZv,huà,CJK)
當	(田,XySl,dāng_dàng_dang,CJK)
畷	(田又又又又,SlWiWiWi,zhuì,CJK)
畸	(田大可,SlXiZj,jī_qí,CJK)
畹	(田宀夕⺋,SlErXuWj,wǎn_yuǎn,CJK)
畺	(一田一田一,FhSlFhFh,jiāng_jiàng,CJK)
畻	(田丷夫土,SlVySvBm,chéng,CJK)
畼	(田日一勹,SlJeFhBl,chàng,CJK)
畽	(田千里,SlHcDn,tǔn_tuǎn,CJK)
畾	(田田田,SlSlSl,léi,CJK)
畿	(幺幺戈田,BlBlIeSl,jī,CJK)
疀	(巛田一龰,JvSlFhLd,chā,CJK)
疁	(田羽人彡,SlEhSiBl,liú,CJK)
疂	(田冫冖且,SlLvLvRh,dié,CJK)
疃	(田立里,SlYqDn,tuǎn,CJK)
疄	(田米夕㐄,SlMgXuGj,lìn_lín,CJK)
疅	(田一田一田一,SlFhSlFh,jiāng,CJK)
疆	(弓土一田一田一,OdBmFhFh,jiāng_jiàng,CJK)
疇	(田士乛工一口寸,SlMfPvLw,chóu,CJK)
疈	(一口田一口田,FhIqSlSl,pì,CJK)
疉	(田田田冖彑,SlSlSlSi,dié,CJK)
疊	(田田田冖且,SlSlSlRh,dié,CJK)
疋	(疋,Kf,pǐ_shū_yǎ,CJK)
疌	(一龰,FhSiLd,jié_qiè,CJK)
疍	(疋日一,KfJeFh,dàn,CJK)
疎	(⺪束,KfUh,shū,CJK)
疏	(⺪,KfPdJv,shū,CJK)
疐	(十冖田疋,GlErSlKf,zhì_dì,CJK)
疑	(匕矢龴疋,HsEuNdKf,yí_níng,CJK)
疒	(疒,Xu,nè,CJK)
疓	(疒乃,XuVi,nǎi,CJK)
疔	(疒丁,XuUe,dīng_nè,CJK)
疕	(疒匕,XuHs,bǐ,CJK)
疖	(疒卩,XuWj,jiē,CJK)
疗	(疒了,XuFu,liáo,CJK)
疘	(疒工,XuNv,gāng_gōng,CJK)
疙	(疒𠂉乙,XuLdJg,gē_yì,CJK)
疚	(疒㇏,XuRlOe,jiù,CJK)
疛	(疒寸,XuLw,zhǒu,CJK)
疜	(疒一卜,XuFhDh,xià,CJK)
疝	(疒山,XuDs,shàn,CJK)
疞	(疒二ㄅ,XuRlPv,xū,CJK)
疟	(疒,XuSi,nüè_yào,CJK)
疠	(疒一,XuFhKg,lì,CJK)
疡	(疒ㄋ,XuPvBl,yáng,CJK)
疢	(疒火,XuYv,chèn,CJK)
疣	(疒尤,XuGh,yóu_yòu,CJK)
疤	(疒巴,XuEw,bā,CJK)
疥	(疒人,XuSiKg,jiè,CJK)
疦	(疒人,XuEhSi,jué_xuè,CJK)
疧	(疒氏,XuQu,qí,CJK)
疨	(疒牙,XuYb,xiā_yá,CJK)
疩	(疒九十,XuDpGl,cuì,CJK)
疪	(疒匕,XuHsHs,bì,CJK)
疫	(疒殳,XuQi,yì,CJK)
疬	(疒厂力,XuOyAu,lì,CJK)
疭	(疒人人,XuSiSi,zòng,CJK)
疮	(疒人⺋,XuSiWj,chuāng,CJK)
疯	(疒几乂,XuPsOs,fēng,CJK)
疰	(疒丶王,XuOeGi,zhù,CJK)
疱	(疒勹巳,XuSnDu,pào,CJK)
疲	(疒皮,XuEm,pí,CJK)
疳	(疒甘,XuMz,gān,CJK)
疴	(疒可,XuZj,kē_ē_qià,CJK)
疵	(疒止匕,XuLdHs,cī_zī_zhài_jì,CJK)
疶	(疒廿㇗,XuXkPv,xuē,CJK)
疷	(疒氏丶,XuQuOe,zhī,CJK)
疸	(疒日一,XuJeFh,dǎn_da,CJK)
疹	(疒人彡,XuSiBl,zhěn_chèn,CJK)
疺	(疒丿之,XuCkDo,fá_biǎn,CJK)
疻	(疒口八,XuIqVy,zhǐ,CJK)
疼	(疒夂゛,XuJtLv,téng,CJK)
疽	(疒且,XuRh,jū_jǔ,CJK)
疾	(疒矢,XuEu,jí,CJK)
疿	(疒弗,XuUv,fèi,CJK)
痀	(疒句,XuTq,jū_gōu,CJK)
痁	(疒⺊口,XuDhIq,shān,CJK)
痂	(疒力口,XuAuIq,jiā,CJK)
痃	(疒亠幺,XuUeBl,xuán,CJK)
痄	(疒乍,XuEl,zhà,CJK)
病	(疒一冂人,XuFhZvSi,bìng,CJK)
痆	(疒尸匕,XuMzHs,niè_nì_niǎn,CJK)
症	(疒一止,XuFhLd,zhèng_zhēng,CJK)
痈	(疒用,XuQl,yōng,CJK)
痉	(疒ス工,XuWiNv,jìng,CJK)
痊	(疒人王,XuSiGi,quán,CJK)
痋	(疒虫,XuJw,téng_chóng,CJK)
痌	(疒冂一口,XuZvFhIq,tōng_tóng,CJK)
痍	(疒大弓,XuXiOd,yí,CJK)
痎	(疒亥,XuYg,jiē,CJK)
痏	(疒𠂇⺝,XuGlMd,wěi_yòu_yù,CJK)
痐	(疒囗口,XuUdIq,huí,CJK)
痑	(疒夕夕,XuXuXu,tān_shǐ,CJK)
痒	(疒羊,XuId,yǎng_yáng,CJK)
痓	(疒至,XuCy,chì,CJK)
痔	(疒土寸,XuBmLw,zhì,CJK)
痕	(疒艮,XuTp,hén_gèn,CJK)
痖	(疒一业,XuFhOq,yǎ,CJK)
痗	(疒𠂉母,XuLdQt,mèi,CJK)
痘	(疒豆,XuEi,dòu,CJK)
痙	(疒一巛工,XuFhJvNv,jìng,CJK)
痚	(疒耂子,XuRiYd,xiāo,CJK)
痛	(疒龴用,XuNdQl,tòng,CJK)
痜	(疒禾几,XuZpPs,tū,CJK)
痝	(疒龙,XuJhBl,máng,CJK)
痞	(疒不口,XuCiIq,pǐ,CJK)
痟	(疒⺌⺝,XuOtMd,xiāo,CJK)
痠	(疒厶八夂,XuNdVyJt,suān,CJK)
痡	(疒甫,XuGn,fū_pū_pù,CJK)
痢	(疒禾刂,XuZpKg,lì,CJK)
痣	(疒士心,XuMfNg,zhì,CJK)
痤	(疒人人土,XuSiSiBm,cuó,CJK)
痥	(疒丷口儿,XuVyIqAh,duó,CJK)
痦	(疒五口,XuJiIq,wù_pī,CJK)
痧	(疒氵小丿,XuHgOtCk,shā,CJK)
痨	(疒艹冖力,XuWhErAu,láo,CJK)
痩	(疒日丨又,XuJeKsWi,shòu,CJK)
痪	(疒⺈冂大,XuRlZvXi,huàn_tuǎn,CJK)
痫	(疒门木,XuBoAj,xián,CJK)
痬	(疒日勹,XuJeSnBl,yì,CJK)
痭	(疒月月,XuMdMd,bēng_péng_bìng,CJK)
痮	(疒長,XuSi,zhàng,CJK)
痯	(疒宀㠯,XuErUs,guǎn,CJK)
痰	(疒火火,XuYvYv,tán,CJK)
痱	(疒非,XuDm,fèi_féi_fěi,CJK)
痲	(疒木木,XuAjAj,má,CJK)
痳	(疒木木,XuAjAj,lín_lìn,CJK)
痴	(疒矢口,XuEuIq,chī,CJK)
痵	(疒禾子,XuZpYd,jì,CJK)
痶	(疒𠕁,XuJzVy,tiǎn_diǎn,CJK)
痷	(疒大日乚,XuXiJePv,ān_yè_è,CJK)
痸	(疒牛巾刂,XuLzUwKg,chì,CJK)
痹	(疒田丌,XuSlWh,bì,CJK)
痺	(疒白丿十,XuDyCkGl,bì,CJK)
痻	(疒氏日,XuQuJe,mín,CJK)
痼	(疒囗古,XuUdQm,gù,CJK)
痽	(疒隹,XuVh,duī,CJK)
痾	(疒阝可,XuTjZj,ē_kē,CJK)
痿	(疒禾女,XuZpSm,wěi,CJK)
瘀	(疒方人゛,XuMxSiLv,yū,CJK)
瘁	(疒亠人人十,XuUeSiGl,cuì,CJK)
瘂	(疒一,XuFhWu,yǎ,CJK)
瘃	(疒豕丶,XuKtOe,zhú,CJK)
瘄	(疒龷日,XuXkJe,cù,CJK)
瘅	(疒丷田十,XuVySlGl,dān_dàn,CJK)
瘆	(疒厶大彡,XuNdXiBl,shèn,CJK)
瘇	(疒千里,XuHcDn,zhǒng,CJK)
瘈	(疒丰刀大,XuZhKgXi,chì_zhì,CJK)
瘉	(疒亼⺝刂,XuTuMdKg,yù,CJK)
瘊	(疒亻矢,XuKjEhEu,hóu,CJK)
瘋	(疒風,XuUy,fēng,CJK)
瘌	(疒束刂,XuUhKg,là,CJK)
瘍	(疒日一勹,XuJeFhBl,yáng_dàng,CJK)
瘎	(疒㇗,XuMzVyPv,chén,CJK)
瘏	(疒耂日,XuRiJe,tú,CJK)
瘐	(疒臼人,XuWiSi,yǔ_yù,CJK)
瘑	(疒冎口,XuFvIq,guō,CJK)
瘒	(疒冖車,XuErJl,wén,CJK)
瘓	(疒⺈冂八大,XuRlZvXi,huàn,CJK)
瘔	(疒艹古,XuWhQm,kù,CJK)
瘕	(疒二コ又,XuMzRlWi,jiǎ_xiā,CJK)
瘖	(疒音,XuAr,yīn_yìn,CJK)
瘗	(疒夫丷土,XuSvVyBm,yì,CJK)
瘘	(疒米女,XuMgSm,lòu,CJK)
瘙	(疒又丶虫,XuWiOeJw,sào,CJK)
瘚	(疒䒑欠,XuVyIaFy,jué,CJK)
瘛	(疒丰刀心,XuZhKgNg,chì,CJK)
瘜	(疒自心,XuCjNg,xī,CJK)
瘝	(疒罒,XuYtHg,guān,CJK)
瘞	(疒大人人土,XuXiSiBm,yì,CJK)
瘟	(疒日皿,XuJeBk,wēn_wò_yūn,CJK)
瘠	(疒冫人⺝,XuLvLvMd,jí,CJK)
瘡	(疒人口,XuSiFkIq,chuāng,CJK)
瘢	(疒舟殳,XuLkQi,bān,CJK)
瘣	(疒鬼,XuBy,huì_lěi,CJK)
瘤	(疒卯田,XuFmSl,liú,CJK)
瘥	(疒⺶工,XuIdNv,chài_cuó,CJK)
瘦	(疒臼丨又,XuWiKsWi,shòu,CJK)
瘧	(疒虍,XuQbSi,nüè_yào,CJK)
瘨	(疒十目,XuGlGyVy,diān_chēn,CJK)
瘩	(疒艹亼口,XuWhTuIq,dā_da_dá,CJK)
瘪	(疒自仑,XuCjHv,biě_biē,CJK)
瘫	(疒又隹,XuWiVh,tān,CJK)
瘬	(疒弓長,XuOdSi,zhàng,CJK)
瘭	(疒覀示,XuQpDd,biāo,CJK)
瘮	(疒厶厶厶人彡,XuNdNdBl,shèn,CJK)
瘯	(疒方𠂉矢,XuMxLdEu,cù,CJK)
瘰	(疒田糸,XuSlHt,luǒ,CJK)
瘱	(疒大人人心,XuXiSiNg,yì,CJK)
瘲	(疒彳人人龰,XuJbSiLd,zòng,CJK)
瘳	(疒羽人彡,XuEhSiBl,chōu_lù,CJK)
瘴	(疒音十,XuArGl,zhàng,CJK)
瘵	(疒示,XuVyDd,zhài_jì,CJK)
瘶	(疒束欠,XuUhFy,sòu,CJK)
瘷	(疒束攵,XuUhRy,sè,CJK)
瘸	(疒力口冂人人,XuAuIqSi,qué,CJK)
瘹	(疒金勹丶,XuTkSnOe,diào,CJK)
瘺	(疒尸雨,XuMzTf,lòu,CJK)
瘻	(疒口丨女,XuSfIqSm,lòu_lǘ,CJK)
瘼	(疒艹日大,XuWhJeXi,mò,CJK)
瘽	(疒廿口龶,XuXkIqZh,qín,CJK)
瘾	(疒阝⺈彐心,XuTjRlNg,yǐn,CJK)
瘿	(疒贝贝女,XuDjDjSm,yǐng,CJK)
癀	(疒黄,XuBx,huáng,CJK)
癁	(疒彳𠂉日夂,XuJbLdJt,fú,CJK)
療	(疒大丷日小,XuXiVyOt,liáo_liào_shuò,CJK)
癃	(疒阝夂一生,XuTjJtDh,lóng,CJK)
癄	(疒隹灬,XuVhYv,qiáo,CJK)
癅	(疒田,XuFmSl,liú,CJK)
癆	(疒火火冖力,XuYvYvAu,láo_lào,CJK)
癇	(疒門月,XuAcMd,xián,CJK)
癈	(疒癶弓殳,XuVyOdQi,fèi,CJK)
癉	(疒吅田十,XuRuSlGl,dān_dàn_dǎn_tán,CJK)
癊	(疒阝亽ヿ云,XuTjTuPd,yìn,CJK)
癋	(疒一心,XuFhWuNg,hè,CJK)
癌	(疒口吅山,XuIqRuDs,ái_yán,CJK)
癍	(疒王文王,XuGiWmGi,bān,CJK)
癎	(疒門日,XuAcJe,xián,CJK)
癏	(疒罒一口𧘇,XuYtFhOr,guān,CJK)
癐	(疒亼囗⺌日,XuTuUdJe,guì_wēi,CJK)
癑	(疒曲辰,XuRwQn,nòng_nóng,CJK)
癒	(疒亼⺝刂心,XuTuMdNg,yù,CJK)
癓	(疒{微框}几,XuYaPs,wéi,CJK)
癔	(疒音心,XuArNg,yì,CJK)
癕	(疒亠乡隹,XuUeFfVh,yōng,CJK)
癖	(疒辟,XuRk,pǐ,CJK)
癗	(疒⻗田,XuTfSl,lěi,CJK)
癘	(疒艹田⽱,XuWhSlFj,lì_lài,CJK)
癙	(疒鼠,XuQk,shǔ,CJK)
癚	(疒⺈厂八言,XuRlOyMe,dàn,CJK)
癛	(疒亠囗口禾,XuUeUdZp,lǐn_bǐng,CJK)
癜	(疒尸龷八殳,XuMzXkQi,diàn,CJK)
癝	(疒亠囗口示,XuUeUdDd,lǐn,CJK)
癞	(疒束⺈贝,XuUhRlDj,lài,CJK)
癟	(疒自侖,XuCjSy,biě_bié_biē,CJK)
癠	(疒齐,XuAe,jì,CJK)
癡	(疒匕矢龴疋,XuHsEuKf,chī,CJK)
癢	(疒⺶㇏丶艮,XuIdOeTp,yǎng,CJK)
癣	(疒鱼羊,XuEiId,xuǎn,CJK)
癤	(疒⺮卩,XuZiTpWj,jiē,CJK)
癥	(疒{微框}王,XuYaGi,zhēng,CJK)
癦	(疒黑土,XuUcBm,me,CJK)
癧	(疒厂禾禾止,XuOyZpLd,lì,CJK)
癨	(疒⻗隹,XuTfVh,huò,CJK)
癩	(疒束⺈貝,XuUhRlIc,lài_là,CJK)
癪	(疒禾龶貝,XuZpZhIc,jī,CJK)
癫	(疒十目页,XuGlGyKw,diān,CJK)
癬	(疒魚羊,XuXlId,xuǎn,CJK)
癭	(疒貝貝女,XuIcIcSm,yǐng,CJK)
癮	(疒阝爫工彐心,XuTjToNg,yǐn,CJK)
癯	(疒目目隹,XuGyGyVh,qú,CJK)
癰	(疒巛口巴隹,XuJvIqVh,yōng,CJK)
癱	(疒廿口夫隹,XuXkIqVh,tān,CJK)
癲	(疒十目頁,XuGlGyWv,diān,CJK)
癳	(疒田田田糸,XuSlSlHt,luǒ,CJK)
癴	(疒言糹糹手,XuMeHtPc,luán,CJK)
癵	(疒言糹糹冂人人,XuMeHtSi,luán,CJK)
癶	(癶,Vy,bō,CJK)
癷	(癶干,VyLr,bō,CJK)
癸	(癶一大,VyFhXi,guǐ,CJK)
癹	(癶殳,VyQi,bá,CJK)
発	(癶二儿,VyRlAh,fā,CJK)
登	(癶豆,VyEi,dēng_dé,CJK)
發	(癶弓殳,VyOdQi,fā_bō,CJK)
白	(白,Dy,bái_bó,CJK)
百	(一白,FhDy,bǎi_bó_mò,CJK)
癿	(白乚,DyPv,qié_bié,CJK)
皀	(白匕,DyHs,jí_xiāng_bī,CJK)
皁	(白十,DyGl,zào,CJK)
皂	(白七,DyLn,zào,CJK)
皃	(白儿,DyAh,mào,CJK)
的	(白勹丶,DySnOe,de_dī_dí_dì,CJK)
皅	(白巴,DyEw,pā_bà,CJK)
皆	(匕白,HsHsDy,jiē,CJK)
皇	(白王,DyGi,huáng_wǎng,CJK)
皈	(白⺁又,DyOyWi,guī,CJK)
皉	(白止匕,DyLdHs,cǐ,CJK)
皊	(白亽龴,DyTuNd,líng,CJK)
皋	(白大十,DyXiGl,gāo_háo_gū,CJK)
皌	(白一木,DyFhAj,mò,CJK)
皍	(白卩,DyHsWj,jí,CJK)
皎	(白六乂,DyCaOs,jiǎo,CJK)
皏	(白䒑廾,DyVyWh,pěng,CJK)
皐	(白冫十,DyLvLvGl,gāo,CJK)
皑	(白山己,DyDsJc,ái,CJK)
皒	(白丿扌,DyCkPcIe,é,CJK)
皓	(白⺧口,DyLzIq,hào_huī,CJK)
皔	(白日干,DyJeLr,hàn,CJK)
皕	(一白一白,FhDyFhDy,bì,CJK)
皖	(白宀二儿,DyErRlAh,wǎn_huàn,CJK)
皗	(白⺆土口,DyZvBmIq,chóu,CJK)
皘	(白龶⺝,DyZhMd,qiàn,CJK)
皙	(木斤白,AjOzDy,xī,CJK)
皚	(白山豆,DyDsEi,ái,CJK)
皛	(白白白,DyDyDy,xiǎo_jiǎo_pò,CJK)
皜	(白高,DyWn,hào,CJK)
皝	(白王光,DyGiSj,huàng,CJK)
皞	(白白大十,DyDyXiGl,hào,CJK)
皟	(白龶貝,DyZhIc,zé,CJK)
皠	(白山隹,DyDsVh,cuǐ,CJK)
皡	(白白冫十,DyDyLvGl,hào,CJK)
皢	(白土土土一儿,DyBmBmAh,xiǎo,CJK)
皣	(白艹艹,DyWhPcWh,yè,CJK)
皤	(白丿米田,DyCkMgSl,pó_pán,CJK)
皥	(白自冫十,DyCjLvGl,hào,CJK)
皦	(白白方攵,DyDyMxRy,jiǎo,CJK)
皧	(白爫冖心夂,DyToErJt,ài,CJK)
皨	(白白白土,DyDyDyBm,xīng,CJK)
皩	(白王日光,DyGiJeSj,huàng,CJK)
皪	(白白幺幺木,DyDyBlAj,lì_luò_bō,CJK)
皫	(白鹿灬,DyCuYv,piǎo,CJK)
皬	(白⻗隹,DyTfVh,hé,CJK)
皭	(白爫罒寸,DyToYtLw,jiào,CJK)
皮	(皮,Em,pí,CJK)
皯	(皮干,EmLr,gǎn,CJK)
皰	(皮勹巳,EmSnDu,pào,CJK)
皱	(⺈彐皮,RlSiEm,zhòu,CJK)
皲	(冖皮,ErYfEm,jūn,CJK)
皳	(一氺丶皮,FhHgOeEm,qiú,CJK)
皴	(厶八夂皮,NdVyJtEm,cūn,CJK)
皵	(龷日皮,XkJeEm,què,CJK)
皶	(木日一皮,AjJeFhEm,zhā,CJK)
皷	(壴皮,HsEm,gǔ,CJK)
皸	(冖車皮,ErJlEm,jūn,CJK)
皹	(皮冖車,EmErJl,jūn,CJK)
皺	(勹勹皮,SnIaSnEm,zhòu_zhōu,CJK)
皻	(虍且皮,QbRhEm,zhā_cǔ,CJK)
皼	(士冖豆皮,MfErEiEm,gǔ,CJK)
皽	(亠囗口日一皮,UeUdIqEm,zhāo_zhǎn_dǎn,CJK)
皾	(士罒貝皮,MfYtIcEm,dú,CJK)
