⺀	[丶丶,bīng_èr,部首補充]
駌	[夕⺋馬,yuān,CJK]
駍	[馬干丷,péi_pēng,CJK]
駎	[馬由,zhòu,CJK]
駏	[馬匚コ,jù,CJK]
駐	[馬丶王,zhù,CJK]
駑	[女又馬,nú,CJK]
駒	[馬句,jū_jù,CJK]
駓	[馬不一,pī,CJK]
駔	[馬且,zǎng_zù_zǔ,CJK]
駕	[力口馬,jià_jiā,CJK]
駖	[馬亽龴,líng,CJK]
駗	[馬人彡,zhěn,CJK]
駘	[馬厶口,tái_dài_zhài_tāi,CJK]
駙	[馬亻寸,fù,CJK]
駚	[馬冂大,yǎng,CJK]
駛	[馬口,shǐ,CJK]
駜	[馬心丿,bì,CJK]
駝	[馬宀匕,tuó,CJK]
駞	[馬𠂉也,tuó,CJK]
駟	[馬四,sì,CJK]
駠	[馬卯,liú,CJK]
駡	[吅馬,mà,CJK]
駢	[馬䒑廾,pián,CJK]
駣	[馬儿冫,táo,CJK]
駤	[馬至,zhì,CJK]
駥	[馬戈𠂇,róng,CJK]
駦	[丷夫馬,téng,CJK]
駧	[馬冂一口,dòng,CJK]
駨	[馬勹日,xūn_xuàn,CJK]
駩	[馬人王,quān,CJK]
駪	[馬⺧儿,shēn,CJK]
駫	[馬光,jiōng,CJK]
駬	[馬耳,ěr,CJK]
駭	[馬亥,hài,CJK]
駮	[馬六乂,bó,CJK]
駯	[馬丿未,zhū,CJK]
駰	[馬囗大,yīn,CJK]
駱	[馬各,luò_jià,CJK]
駲	[馬川,zhōu,CJK]
駳	[馬丿止廴,dàn,CJK]
駴	[馬戈廾,hài,CJK]
駵	[馬丣,liú,CJK]
駶	[馬尸𠃌口,jú,CJK]
駷	[馬束,sǒng,CJK]
駸	[馬彐冖又,qīn,CJK]
駹	[馬龙,máng,CJK]
駺	[馬丶艮,láng_liáng,CJK]
駻	[馬日干,hàn,CJK]
駼	[馬人禾,tú,CJK]
駽	[馬口⺝,xuān,CJK]
駾	[馬丷口儿,tuì,CJK]
駿	[馬厶八夂,jùn,CJK]
騀	[馬丿扌,ě_é,CJK]
騁	[馬由一ㄅ,chěng,CJK]
騂	[馬辛,xīng,CJK]
騃	[馬厶矢,ái_sì_tǎi,CJK]
騄	[馬氺,lù,CJK]
騅	[馬隹,zhuī,CJK]
騆	[馬⺆土口,zhōu_dòng,CJK]
騇	[馬人,shè,CJK]
騈	[馬丿丿干,pián,CJK]
騉	[馬日匕,kūn,CJK]
騊	[馬勹缶,táo,CJK]
騋	[馬木人人,lái,CJK]
騌	[馬宀示,zōng,CJK]
騍	[馬田木,kè,CJK]
騎	[馬大可,qí_jì,CJK]
騏	[馬,qí,CJK]
騐	[馬亽ヿ心,yàn,CJK]
騑	[馬非,fēi,CJK]
騒	[馬又虫,sāo,CJK]
験	[馬亼口人,yàn,CJK]
騔	[馬日勹亾,gé,CJK]
騕	[馬覀女,yǎo,CJK]
騖	[予丿攵馬,wù,CJK]
騗	[户𠕁馬,piàn,CJK]
騘	[馬勹丶心,cōng,CJK]
騙	[馬户𠕁,piàn,CJK]
騚	[馬䒑⺝刂,qián,CJK]
騛	[馬飛,fēi,CJK]
騜	[馬白王,huáng,CJK]
騝	[馬聿廴,qián,CJK]
騞	[馬丰石,huō,CJK]
騟	[馬亼⺝刂,yú,CJK]
騠	[馬日疋,tí,CJK]
騡	[馬白水,quán,CJK]
騢	[馬二コ又,xiá,CJK]
騣	[馬㐅凵八夂,zōng,CJK]
騤	[馬癶一大,kuí_jué,CJK]
騥	[馬予丿木,róu,CJK]
騦	[馬田心,sī,CJK]
騧	[馬冎口,guā,CJK]
騨	[馬ツ田十,tuó,CJK]
騩	[馬鬼,guī_tuí,CJK]
騪	[馬臼丨又,sōu,CJK]
騫	[宀井馬,qiān_jiǎn,CJK]
騬	[馬禾匕,chéng,CJK]
騭	[阝止馬,zhì,CJK]
騮	[馬卯田,liú,CJK]
騯	[馬冖方,péng_bǎng,CJK]
騰	[月丷夫馬,téng,CJK]
騱	[馬爫幺大,xí,CJK]
騲	[馬艹日十,cǎo,CJK]
騳	[馬馬,dú,CJK]
騴	[馬日宀女,yàn,CJK]
騵	[馬厂白小,yuán,CJK]
騶	[馬勹勹,zōu_zhū_zhòu_qū,CJK]
騷	[馬又丶虫,sāo_sǎo_xiāo,CJK]
騸	[馬户羽,shàn,CJK]
騹	[馬廿口龶,qí,CJK]
騺	[土丸馬,zhì_chì,CJK]
騻	[馬大乂乂乂乂,shuāng,CJK]
騼	[馬鹿,lù,CJK]
騽	[馬羽白,xí,CJK]
騾	[馬田糸,luó,CJK]
騿	[馬音十,zhāng,CJK]
驀	[艹日大馬,mò_mà,CJK]
驁	[敖馬,ào_yào,CJK]
驂	[馬厶厶厶人彡,cān,CJK]
驃	[馬覀示,biāo_piào,CJK]
驄	[馬丿心,cōng,CJK]
驅	[馬匚口吅,qū,CJK]
驆	[馬田艹,bì,CJK]
驇	[土八土丸馬,zhì,CJK]
驈	[馬予丿冂八口,yù,CJK]
驉	[馬虍业,xū,CJK]
驊	[馬艹艹,huá,CJK]
驋	[馬癶弓殳,bō,CJK]
驌	[馬肀片爿一,sù,CJK]
驍	[馬土土土一儿,xiāo,CJK]
驎	[馬米夕㐄,lín,CJK]
驏	[馬尸子子子,zhàn,CJK]
驐	[馬子攵,dūn,CJK]
驑	[馬田,liú,CJK]
驒	[馬吅田十,tuó,CJK]
驓	[馬丷囗⺌日,céng,CJK]
驔	[馬覀日十,diàn,CJK]
驕	[馬丿大口冂口,jiāo_xiāo_jū_qiáo,CJK]
驖	[馬十戈口王,tiě,CJK]
驗	[馬僉,yàn,CJK]
驘	[{赢框}馬,luó,CJK]
驙	[馬亠囗口日一,zhān_zhàn,CJK]
驚	[艹句攵馬,jīng,CJK]
驛	[馬罒土,yì,CJK]
驜	[馬业䒑未,yè,CJK]
驝	[馬士冖石木,tuō,CJK]
驞	[馬宀一貝,pīn,CJK]
驟	[馬耳又丿,zhòu,CJK]
驠	[馬廿口匕灬,yàn,CJK]
驡	[立⺝{龍字边}馬,lóng_zǎng,CJK]
驢	[馬虍田皿,lǘ,CJK]
驣	[馬丷夫馬,téng,CJK]
驤	[馬衣吅井一,xiāng,CJK]
驥	[馬匕田龷八,jì,CJK]
驦	[馬⻗木目,shuāng,CJK]
驧	[馬革勹米,jú,CJK]
驨	[馬山隹冂八口,xí,CJK]
驩	[馬艹吅隹,huān,CJK]
驪	[馬一一鹿,lí_chí,CJK]
驫	[馬馬馬,biāo_piāo,CJK]
马	[马,mǎ,CJK]
驭	[马又,yù,CJK]
驮	[马大,tuó_duò,CJK]
驯	[马川,xùn_xún,CJK]
驰	[马也,chí,CJK]
驱	[马匚㐅,qū,CJK]
驲	[马日,rì,CJK]
驳	[马乂乂,bó,CJK]
驴	[马户,lǘ,CJK]
驵	[马且,zǎng,CJK]
驶	[马口,shǐ,CJK]
驷	[马四,sì,CJK]
驸	[马亻寸,fù,CJK]
驹	[马句,jū,CJK]
驺	[马⺈彐,zōu,CJK]
驻	[马丶王,zhù,CJK]
驼	[马宀匕,tuó,CJK]
驽	[女又马,nú,CJK]
驾	[力口马,jià,CJK]
驿	[马又,yì,CJK]
骀	[马厶口,dài_tái,CJK]
骁	[马一儿,xiāo,CJK]
骂	[吅马,mà,CJK]
骃	[马囗大,yīn,CJK]
骄	[马丿大,jiāo,CJK]
骅	[马亻匕十,huá,CJK]
骆	[马各,luò,CJK]
骇	[马亥,hài,CJK]
骈	[马䒑廾,pián,CJK]
骉	[马马马,biāo,CJK]
骊	[马一,lí,CJK]
骋	[马由一ㄅ,chěng,CJK]
验	[马亼⺍一,yàn,CJK]
骍	[马辛,xīng,CJK]
骎	[马彐冖又,qīn,CJK]
骏	[马厶八夂,jùn,CJK]
骐	[马,qí,CJK]
骑	[马大可,qí,CJK]
骒	[马田木,kè,CJK]
骓	[马隹,zhuī,CJK]
骔	[马宀示,zōng,CJK]
骕	[马肀八,sù,CJK]
骖	[马厶大彡,cān,CJK]
骗	[马户𠕁,piàn,CJK]
骘	[阝止马,zhì,CJK]
骙	[马癶一大,kuí,CJK]
骚	[马又丶虫,sāo,CJK]
骛	[予丿攵马,wù,CJK]
骜	[敖马,ào,CJK]
骝	[马卯田,liú,CJK]
骞	[宀井马,qiān,CJK]
骟	[马户羽,shàn,CJK]
骠	[马覀示,biāo_piào,CJK]
骡	[马田糸,luó,CJK]
骢	[马丿心,cōng,CJK]
骣	[马尸子子子,chǎn,CJK]
骤	[马耳又丿,zhòu,CJK]
骥	[马匕田龷八,jì,CJK]
骦	[马⻗木目,shuāng,CJK]
骧	[马衣吅井一,xiāng,CJK]
骨	[骨,gǔ_gū_gú,CJK]
骩	[骨九,wěi,CJK]
骪	[骨几丶,wěi,CJK]
骫	[骨丸,wěi_wán,CJK]
骬	[骨一𬺰,yú,CJK]
骭	[骨干,gàn,CJK]
骮	[骨弋,yì,CJK]
骯	[骨亠几,āng_kǎng,CJK]
骰	[骨殳,tóu_gǔ,CJK]
骱	[骨人,jiè_jiá_xiè,CJK]
骲	[骨勹巳,bào,CJK]
骳	[骨皮,bèi,CJK]
骴	[骨止匕,cī_zhài,CJK]
骵	[骨木一,tǐ,CJK]
骶	[骨氏丶,dǐ,CJK]
骷	[骨古,kū,CJK]
骸	[骨亥,hái_gāi,CJK]
骹	[骨六乂,qiāo_jiāo_xiāo,CJK]
骺	[骨⺁一口,hóu,CJK]
骻	[骨大二ㄅ,kuà,CJK]
骼	[骨各,gé,CJK]
骽	[骨爫女,tuǐ,CJK]
骾	[骨{凬字心},gěng,CJK]
骿	[骨䒑廾,pián,CJK]
髀	[骨白丿十,bì,CJK]
髁	[骨田木,kē_kuà,CJK]
髂	[骨宀各,qià_gé,CJK]
髃	[骨田⽱,yú,CJK]
髄	[骨𠂇⺝辶,suǐ,CJK]
髅	[骨米女,lóu,CJK]
髆	[骨甫寸,bó_pò,CJK]
髇	[骨高,xiāo,CJK]
髈	[骨冖方,bǎng_páng_pǎng,CJK]
髉	[骨冖隹,bó_jué,CJK]
髊	[骨⺶工,cī_cuō,CJK]
髋	[骨宀艹见,kuān,CJK]
髌	[骨宀,bìn,CJK]
髍	[骨麻,mó,CJK]
髎	[骨羽人彡,liáo,CJK]
髏	[骨口丨女,lóu,CJK]
髐	[骨土土土一儿,xiāo,CJK]
髑	[骨罒勹虫,dú,CJK]
髒	[骨艹歹匕廾,zāng_zǎng,CJK]
髓	[骨𠂇工⺝辶,suǐ,CJK]
體	[骨曲豆,tǐ_tī,CJK]
髕	[骨宀一貝,bìn,CJK]
髖	[骨宀艹見丶,kuān,CJK]
髗	[骨虍田皿,lú,CJK]
高	[高,gāo_gào,CJK]
髙	[髙,gāo,CJK]
髚	[高亠几,qiào,CJK]
髛	[高尸九,kāo,CJK]
髜	[高日丿廾,qiǎo,CJK]
髝	[高火火冖力,láo,CJK]
髞	[高口吅木,sào,CJK]
髟	[髟,biāo_piào_shān,CJK]
髠	[髟几,kūn,CJK]
髡	[髟一儿,kūn,CJK]
髢	[髟也,dí,CJK]
髣	[髟方,fǎng,CJK]
髤	[髟木,xiū,CJK]
髥	[髟冂二,rán,CJK]
髦	[髟毛,máo,CJK]
髧	[髟冖儿,dàn,CJK]
髨	[髟二儿,kūn,CJK]
髩	[髟一丨㇗𠃌,bìn,CJK]
髪	[髟𠂇又,fà_fǎ,CJK]
髫	[髟刀口,tiáo,CJK]
髬	[髟不一,pī,CJK]
髭	[髟止匕,zī,CJK]
髮	[髟𠂇又丶,fà_fǎ,CJK]
髯	[髟冂土,rán,CJK]
髰	[髟廿㇗,tì,CJK]
髱	[髟勹巳,bào,CJK]
髲	[髟皮,bì,CJK]
髳	[髟予丿,máo_róu_méng,CJK]
髴	[髟弗,fú_fèi,CJK]
髵	[髟而,ér,CJK]
髶	[髟耳,róng_èr,CJK]
髷	[髟曲,qū,CJK]
髸	[髟龷八,gōng,CJK]
髹	[髟亻木,xiū,CJK]
髺	[髟舌,kuò_yuè,CJK]
髻	[髟士口,jì_jié,CJK]
髼	[髟夂丰,péng,CJK]
髽	[髟人人土,zhuā,CJK]
髾	[髟⺌⺝,shāo_shǎo_shào,CJK]
髿	[髟氵小丿,suō,CJK]
鬀	[髟丷𢎨,tì,CJK]
鬁	[髟禾刂,lì,CJK]
鬂	[髟,bìn,CJK]
鬃	[髟宀示,zōng,CJK]
鬄	[髟日勹,dí_tì,CJK]
鬅	[髟月月,péng,CJK]
鬆	[髟木八厶,sōng_sòng_sóng,CJK]
鬇	[髟⺈,zhēng,CJK]
鬈	[髟丷夫⺋,quán,CJK]
鬉	[髟㐅凵八夂,zōng,CJK]
鬊	[髟㇏日,shùn,CJK]
鬋	[髟䒑⺝刂,jiǎn,CJK]
鬌	[髟𠂇工⺝,tuǒ_chuí_duǒ,CJK]
鬍	[髟古月,hú,CJK]
鬎	[髟束刂,là,CJK]
鬏	[髟禾火,jiū,CJK]
鬐	[髟老日,qí,CJK]
鬑	[髟䒑,lián,CJK]
鬒	[髟十目,zhěn,CJK]
鬓	[髟宀,bìn,CJK]
鬔	[髟夂丰辶,péng,CJK]
鬕	[髟艹日大,mà,CJK]
鬖	[髟厶厶厶人彡,sān_sàn,CJK]
鬗	[髟廿巾入入,mán,CJK]
鬘	[髟日罒又,mán,CJK]
鬙	[髟丷囗⺌日,sēng,CJK]
鬚	[髟彡頁,xū,CJK]
鬛	[髟,liè,CJK]
鬜	[髟門月,qiān,CJK]
鬝	[髟門日,qiān,CJK]
鬞	[髟曲辰,náng_nàng,CJK]
鬟	[髟罒一口𧘇,huán,CJK]
鬠	[髟亼囗⺌日,kuò_kuài,CJK]
鬡	[髟宀心皿丁,níng,CJK]
鬢	[髟宀一貝,bìn,CJK]
鬣	[髟巛,liè,CJK]
鬤	[髟衣吅井一,ráng_níng,CJK]
鬥	[鬥,dòu,CJK]
鬦	[鬥斗,dòu,CJK]
鬧	[鬥亠巾,nào,CJK]
鬨	[鬥龷八,hòng_xiàng,CJK]
鬩	[鬥臼儿,xì_hè,CJK]
鬪	[鬥豆寸,dòu,CJK]
鬫	[鬥ヿ耳攵,hǎn,CJK]
鬬	[鬥斤,dòu,CJK]
鬭	[鬥斤,dòu,CJK]
鬮	[鬥龜,jiū,CJK]
鬯	[凵匕,chàng,CJK]
鬰	[木乂乂木冖凵匕彡,yù,CJK]
鬱	[木缶木冖凵匕彡,yù,CJK]
鬲	[鬲,gé_lì_è,CJK]
鬳	[虍鬲,yàn,CJK]
鬴	[鬲甫,fǔ_lì,CJK]
鬵	[旡旡鬲,qín_xín,CJK]
鬶	[夫见鬲,guī,CJK]
鬷	[鬲㐅凵八夂,zōng_zěng,CJK]
鬸	[鬲卯田,liù,CJK]
鬹	[夫見鬲,guī_xié,CJK]
鬺	[鬲𠂉日一勹,shāng,CJK]
鬻	[弓米弓鬲,yù_zhōu_jū,CJK]
鬼	[鬼,guǐ,CJK]
鬽	[鬼彡,mèi,CJK]
鬾	[鬼支,jì_qí,CJK]
鬿	[鬼斤,qí,CJK]
魀	[鬼人,gà,CJK]
魁	[鬼斗,kuí_kuǐ_kuài,CJK]
魂	[云鬼,hún,CJK]
魃	[鬼𠂇又丶,bá,CJK]
魄	[白鬼,pò_bó_tuò,CJK]
魅	[鬼未,mèi,CJK]
魆	[鬼戉,xū,CJK]
魇	[厂犬鬼,yǎn,CJK]
魈	[鬼⺌⺝,xiāo,CJK]
魉	[鬼两,liǎng,CJK]
魊	[鬼戈口一,yù,CJK]
魋	[鬼隹,tuí_chuí,CJK]
魌	[鬼,qī,CJK]
魍	[鬼冂䒑亡,wǎng,CJK]
魎	[鬼一巾入入,liǎng,CJK]
魏	[禾女鬼,wèi_wéi_wēi,CJK]
魐	[鬼䒑,gān,CJK]
魑	[鬼亠㐅凵禸,chī,CJK]
魒	[鬼覀示,piāo,CJK]
魓	[鬼田艹,bì,CJK]
魔	[麻鬼,mó,CJK]
魕	[鬼幺幺戈人,jǐ,CJK]
魖	[鬼虍业,xū,CJK]
魗	[士乛工一口寸鬼,chǒu_chóu,CJK]
魘	[厂日月犬鬼,yǎn,CJK]
魙	[氵車斤鬼,zhān,CJK]
魚	[魚,yú,CJK]
魛	[魚刀,dāo,CJK]
魜	[魚人,rén,CJK]
魝	[魚刂,jié_jì,CJK]
魞	[魚入,bā,CJK]
魟	[魚工,hóng_gōng,CJK]
魠	[魚丿七,tuō,CJK]
魡	[魚勹丶,diào_dí,CJK]
魢	[魚己,jǐ,CJK]
魣	[魚予,xù_yú,CJK]
魤	[魚亻匕,é_huà,CJK]
魥	[魚及,è_qiè_jì,CJK]
魦	[魚小丿,shā_suō,CJK]
魧	[魚亠几,háng,CJK]
魨	[魚一,tún,CJK]
魩	[魚勹,mò,CJK]
魪	[魚人,jiè,CJK]
魫	[魚冖儿,shěn,CJK]
魬	[魚⺁又,bǎn,CJK]
魭	[魚二儿,yuán_wǎn,CJK]
魮	[魚匕,pí_bǐ,CJK]
魯	[魚日,lǔ_lǚ,CJK]
魰	[魚文,wén,CJK]
魱	[魚一彑,hú_hù,CJK]
魲	[魚户,lú,CJK]
魳	[魚一巾,zā_shī,CJK]
魴	[魚方,fáng,CJK]
魵	[魚八刀,fén_fèn,CJK]
魶	[魚冂人,nà,CJK]
魷	[魚尤,yóu,CJK]
魸	[魚片,piàn,CJK]
魹	[魚毛,mó,CJK]
魺	[魚可,hé_gě,CJK]
魻	[魚甲,xiá_xiā,CJK]
魼	[魚土厶,qū_xié,CJK]
魽	[魚甘,hán_hān,CJK]
魾	[魚不一,pī_pí,CJK]
魿	[魚亽龴,líng_lín,CJK]
鮀	[魚宀匕,tuó,CJK]
鮁	[魚𠂇又丶,bō_bà,CJK]
鮂	[魚囚,qiú,CJK]
鮃	[魚干丷,píng,CJK]
鮄	[魚弗,fú,CJK]
鮅	[魚心丿,bì,CJK]
鮆	[止匕魚,cǐ_jì,CJK]
鮇	[魚未,wèi,CJK]
鮈	[魚句,jū_qú_gǒu,CJK]
鮉	[魚刀口,diāo,CJK]
鮊	[魚白,bà_bó,CJK]
鮋	[魚由,yóu_chóu,CJK]
鮌	[魚亠幺,gǔn,CJK]
鮍	[魚皮,pī_pí_jù,CJK]
鮎	[魚⺊口,nián,CJK]
鮏	[魚生,xīng_zhēng,CJK]
鮐	[魚厶口,tái,CJK]
鮑	[魚勹巳,bào_bāo_pāo,CJK]
鮒	[魚亻寸,fù,CJK]
鮓	[魚乍,zhǎ_zhà,CJK]
鮔	[魚匚コ,jù,CJK]
鮕	[魚古,gū,CJK]
鮖	[魚石,shí,CJK]
鮗	[魚夂゛,dōng,CJK]
鮘	[魚亻弋,dai,CJK]
鮙	[魚羽,tà,CJK]
鮚	[魚士口,jié_qià,CJK]
鮛	[魚⺊一小,shū,CJK]
鮜	[魚⺁一口,hòu,CJK]
鮝	[丷夫魚,xiǎng_zhèn,CJK]
鮞	[魚而,ér,CJK]
鮟	[魚宀女,àn_ān,CJK]
鮠	[魚⺈厂⺋,wéi,CJK]
鮡	[魚儿冫,zhào,CJK]
鮢	[魚丿未,zhū,CJK]
鮣	[魚一卩,yìn,CJK]
鮤	[歹刂魚,liè,CJK]
鮥	[魚各,luò_gé,CJK]
鮦	[魚冂一口,tóng,CJK]
鮧	[魚大弓,tǐ_yí,CJK]
鮨	[魚匕日,yì_qí,CJK]
鮩	[魚䒑廾,bìng_bì,CJK]
鮪	[魚𠂇⺝,wěi,CJK]
鮫	[魚六乂,jiāo,CJK]
鮬	[魚大二ㄅ,kū_kù,CJK]
鮭	[魚土土,guī_xié_huà_wā_kuí,CJK]
鮮	[魚羊,xiān_xiǎn_xiàn,CJK]
鮯	[魚亼口,gé,CJK]
鮰	[魚囗口,huí,CJK]
鮱	[魚老,lǎo,CJK]
鮲	[魚亻犬,fú,CJK]
鮳	[魚耂一ㄅ,kào,CJK]
鮴	[魚亻木,xiū,CJK]
鮵	[魚丷口儿,duó,CJK]
鮶	[魚丿口,jūn,CJK]
鮷	[魚丷𢎨,tí,CJK]
鮸	[魚儿,miǎn,CJK]
鮹	[魚⺌⺝,shāo,CJK]
鮺	[⺶魚,zhǎ,CJK]
鮻	[魚厶八夂,suō,CJK]
鮼	[魚彐冖又,qīn,CJK]
鮽	[魚人禾,yú,CJK]
鮾	[魚爫女,něi,CJK]
鮿	[魚耳㇗,zhé,CJK]
鯀	[魚丿糸,gǔn,CJK]
鯁	[魚{凬字心},gěng,CJK]
鯂	[魚酉,sū,CJK]
鯃	[魚五口,wú,CJK]
鯄	[魚一氺丶,qiú,CJK]
鯅	[魚丿止廴,shān_shěn,CJK]
鯆	[魚甫,pū_bū,CJK]
鯇	[魚宀二儿,huàn,CJK]
鯈	[亻丨夂魚,tiáo_yóu_chóu,CJK]
鯉	[魚里,lǐ,CJK]
鯊	[氵小丿魚,shā,CJK]
鯋	[魚氵小丿,shā,CJK]
鯌	[魚⺧口,kào,CJK]
鯍	[魚,méng,CJK]
鯎	[魚戊𠃌,chéng,CJK]
鯏	[魚禾刂,lí,CJK]
鯐	[魚走,zǒu,CJK]
鯑	[魚㐅𠂇巾,xī,CJK]
鯒	[魚龴用,yǒng,CJK]
鯓	[魚身,shēn,CJK]
鯔	[魚巛田,zī,CJK]
鯕	[魚,qí,CJK]
鯖	[魚龶⺝,zhēng_qīng,CJK]
鯗	[⺶㇏魚,xiǎng,CJK]
鯘	[魚禾女,něi,CJK]
鯙	[魚子,chún,CJK]
鯚	[魚禾子,jì,CJK]
鯛	[魚⺆土口,diāo,CJK]
鯜	[魚立女,qiè,CJK]
鯝	[魚囗古,gù,CJK]
鯞	[魚彐冖巾,zhǒu,CJK]
鯟	[魚木日,dōng,CJK]
鯠	[魚木人人,lái,CJK]
鯡	[魚非,fèi_fēi,CJK]
鯢	[魚臼儿,ní,CJK]
鯣	[魚日勹,yì,CJK]
鯤	[魚日匕,kūn,CJK]
鯥	[魚土八土,lù,CJK]
鯦	[魚夂卜口,jiù_ǎi,CJK]
鯧	[魚日曰,chāng,CJK]
鯨	[魚小,jīng_qíng,CJK]
鯩	[魚侖,lún,CJK]
鯪	[魚土八夂,líng,CJK]
鯫	[魚耳又,zōu,CJK]
鯬	[禾魚,lí,CJK]
鯭	[魚子皿,měng,CJK]
鯮	[魚宀示,zōng,CJK]
鯯	[魚牛巾刂,zhì,CJK]
鯰	[魚亽ヿ心,nián,CJK]
鯱	[魚虎,hǔ,CJK]
鯲	[魚方人゛,yú,CJK]
鯳	[魚广氏丶,dǐ,CJK]
鯴	[魚⺄丿虫,shī,CJK]
鯵	[魚厶大彡,shēn,CJK]
鯶	[魚冖車,huàn,CJK]
鯷	[魚日疋,tí,CJK]
鯸	[魚亻矢,hóu,CJK]
鯹	[魚日生,xīng,CJK]
鯺	[魚耂日,zhū,CJK]
鯻	[魚束刂,là,CJK]
鯼	[魚㐅凵八夂,zōng,CJK]
鯽	[魚卩,zéi_jì,CJK]
鯾	[魚亻{凬字心},biān,CJK]
鯿	[魚户𠕁,biān,CJK]
鰀	[魚爫一𠂇又,huàn,CJK]
鰁	[魚白水,quán,CJK]
鰂	[魚貝刂,zéi_zé,CJK]
鰃	[魚田一,wēi,CJK]
鰄	[魚戊一女,wēi,CJK]
鰅	[魚田⽱,yú,CJK]
鰆	[魚㇏日,chūn,CJK]
鰇	[魚予丿木,róu,CJK]
鰈	[魚廿㇗木,dié_qiè_zhá,CJK]
鰉	[魚白王,huáng,CJK]
鰊	[魚束丷,liàn,CJK]
鰋	[魚匚日女,yǎn,CJK]
鰌	[魚丷酉,qiū,CJK]
鰍	[魚禾火,qiū,CJK]
鰎	[魚聿廴,jiǎn,CJK]
鰏	[魚一口田,bī,CJK]
鰐	[魚吅二ㄅ,è,CJK]
鰑	[魚日一勹,yáng,CJK]
鰒	[魚𠂉日夂,fù,CJK]
鰓	[魚田心,sāi_xí,CJK]
鰔	[魚戊一口,gǎn_jiān_xián,CJK]
鰕	[魚二コ又,xiā,CJK]
鰖	[魚𠂇工⺝,tuǒ_wěi,CJK]
鰗	[魚古月,hú,CJK]
鰘	[魚宀至,shì,CJK]
鰙	[魚艹𠂇口,ruò,CJK]
鰚	[魚宀{凬字心}一,xuān,CJK]
鰛	[魚日皿,wēn,CJK]
鰜	[魚䒑,qiàn_jiān,CJK]
鰝	[魚高,hào,CJK]
鰞	[魚烏,wū,CJK]
鰟	[魚冖方,fáng_páng,CJK]
鰠	[魚又丶虫,sāo,CJK]
鰡	[魚卯田,liú,CJK]
鰢	[魚馬,mǎ,CJK]
鰣	[魚日土寸,shí,CJK]
鰤	[魚丿㠯一巾,shī,CJK]
鰥	[魚罒,guān_guàn_kūn_gǔn,CJK]
鰦	[魚艹幺幺,zī,CJK]
鰧	[月丷夫魚,téng,CJK]
鰨	[魚⺜羽,tǎ_dié,CJK]
鰩	[魚爫缶,yáo,CJK]
鰪	[魚土厶皿,é_gé,CJK]
鰫	[魚宀谷,yóng,CJK]
鰬	[魚虍文,qián,CJK]
鰭	[魚老日,qí,CJK]
鰮	[魚囚皿,wēn,CJK]
鰯	[魚弓冫弓冫,ruò,CJK]
鰰	[魚礻日丨,shén,CJK]
鰱	[魚車辶,lián,CJK]
鰲	[敖魚,áo,CJK]
鰳	[魚革力,lè,CJK]
鰴	[{微框}魚,huī,CJK]
鰵	[𠂉母攵魚,mǐn,CJK]
鰶	[魚示,jì,CJK]
鰷	[魚亻丨夂木,tiáo,CJK]
鰸	[魚匚口吅,qū,CJK]
鰹	[魚臣又土,jiān,CJK]
鰺	[魚厶厶厶人彡,shēn_sāo_cān,CJK]
鰻	[魚日罒又,mán,CJK]
鰼	[魚羽白,xí,CJK]
鰽	[魚一曲日,qiú,CJK]
鰾	[魚覀示,biào,CJK]
鰿	[魚龶貝,jì,CJK]
鱀	[旡魚,jì,CJK]
鱁	[魚豕辶,zhú,CJK]
鱂	[魚爿寸,jiāng,CJK]
鱃	[魚⺶ヿ土,xiū_qiū,CJK]
鱄	[魚十田寸,zhuān_tuán_liàn,CJK]
鱅	[魚广肀用,yōng_yóng,CJK]
鱆	[魚音十,zhāng,CJK]
鱇	[魚广氺,kāng,CJK]
鱈	[魚⻗彐,xuě,CJK]
鱉	[㡀攵魚,biē,CJK]
鱊	[魚予丿冂八口,yù,CJK]
鱋	[魚虍业,qū,CJK]
鱌	[魚象,xiàng,CJK]
鱍	[魚癶弓殳,bō,CJK]
鱎	[魚丿大口冂口,jiǎo,CJK]
鱏	[魚覀日十,xún,CJK]
鱐	[魚肀片爿一,sù,CJK]
鱑	[魚黄,huáng,CJK]
鱒	[魚丷酉寸,zūn_zùn,CJK]
鱓	[魚吅田十,shàn_tuó,CJK]
鱔	[魚羊䒑口,shàn,CJK]
鱕	[魚丿米田,fān,CJK]
鱖	[魚厂䒑欠,guì_jué,CJK]
鱗	[魚米夕㐄,lín,CJK]
鱘	[魚彐工口寸,xún,CJK]
鱙	[魚土土土一儿,miáo,CJK]
鱚	[魚壴口,xǐ_xī,CJK]
鱛	[魚丷囗⺌日,zēng,CJK]
鱜	[魚乡丶阝,xiāng,CJK]
鱝	[魚十艹貝,fèn,CJK]
鱞	[魚罒一口𧘇,guān,CJK]
鱟	[乂乂冖魚,hòu,CJK]
鱠	[魚亼囗⺌日,kuài,CJK]
鱡	[魚貝戈𠂇,zéi,CJK]
鱢	[魚口吅木,sāo,CJK]
鱣	[魚亠囗口日一,zhān_shàn,CJK]
鱤	[魚戊一口心,gǎn,CJK]
鱥	[魚止戊一,guì,CJK]
鱦	[魚黽,yìng_shéng_měng,CJK]
鱧	[魚曲豆,lǐ,CJK]
鱨	[魚匕日,cháng,CJK]
鱩	[魚⻗田,léi,CJK]
鱪	[魚日耂日,shǔ,CJK]
鱫	[魚爫冖心夂,ài,CJK]
